Designator,Mid X,Mid Y,Rotation,Layer
C1,154.71437,-64.0,90.0,bottom
C2,169.73937,-56.75,90.0,bottom
D1,209.68937,-55.825,270.0,bottom
D10,176.06437,-67.3875,90.0,bottom
D2,201.26437,-55.8,270.0,bottom
D3,192.86437,-55.825,270.0,bottom
D4,184.31437,-55.875,270.0,bottom
D5,175.98937,-55.75,270.0,bottom
D6,210.03937,-67.3,90.0,bottom
D7,201.23937,-67.35,90.0,bottom
D8,193.08937,-67.45,90.0,bottom
D9,184.36437,-67.35,90.0,bottom
J1,129.26437,-61.865,0.0,bottom
J2,223.34937,-61.45,270.0,bottom
R1,170.425,-70.575,270.0,bottom
R2,154.68937,-58.725,270.0,bottom
RV1,135.95187,-61.975,270.0,bottom
U1,147.54937,-61.575,270.0,bottom
U2,161.74937,-61.41,0.0,bottom
